Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Reliance Industries Ltd,10/19/2017,Surinder Singh Saini,Insider - Other,Sell,50,45768.0,915.36
Reliance Industries Ltd,7/25/2017,Naresh Kumar Narang,Insider - Other,Sell,50,80500.0,1610.0
Axis Bank Ltd,3/8/2017,Maxim Pinto,Insider - Employee,Buy,20,5.85,29240.5
Mahindra and Mahindra Ltd,10/4/2016,Mr. Sanjay Narayan Galwankar,Insider - Employee,Sell,10,14480.0,1448.0
Mahindra and Mahindra Ltd,1/7/2016,Sunil Chahure,Insider - Employee,Buy,10,11900.0,1190.0
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO,Block,Buy,26,25168.0,968.0
Hindustan Unilever Ltd,8/3/2023,Gajendra Pal Singh,Insider - Designated Person,Buy,20,50780.0,2539.0
BCL Enterprises Ltd,4/20/2022,ZEEL PRADIPKUMAR SHAH,Bulk,Buy,1,4.0,4.65
Larsen & Toubro Ltd,7/10/2015,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,12,22334.0,1861.17
HDFC Bank Ltd,3/25/2019,Pranesh A Rao,Insider - Employee,Sell,45,1.0,2230.0
India Pesticides Ltd,9/15/2022,Adhiraj Swarup Agarwal,Insider - Immediate Relative,Sell,1,304.0,304.0
Housing Development Finance Corporation Ltd,12/13/2019,VENKATESHWARAN N,Insider - Designated Person,Sell,15,35401.0,2360.07
Bajaj Electricals Ltd,4/26/2022,ADARSH KUMAR SINGHAL,Insider - Designated Person,Sell,1,1070.0,1070.0
Apollo Tyres Limited,10/15/2018,CLASSIC AUTOTUBES LTD.,Insider - Promoter Group,Buy,5,1088.0,217.6
UNO Minda Ltd,8/17/2022,Ramneek Jain,Insider - Employee,Buy,5,2800.0,560.0
HCL Technologies Ltd,6/15/2017,Amit Roy,Insider - Employee,Sell,25,21035.0,841.4
Grasim Industries Ltd,1/9/2017,Sanjay Kumar Verma,Insider - Employee,Buy,5,2279.0,455.8
Housing Development Finance Corporation Ltd,2/2/2017,Ayon Fouzdar,Insider - Employee,Sell,14,19517.0,1394.07
Housing Development Finance Corporation Ltd,3/17/2017,Sudha V,Insider - Employee,Sell,14,20339.0,1452.79
HDFC Bank Ltd,12/23/2016,Biju Jones C,Insider - Employee,Buy,45,4.08,9066.67
Godrej Industries Ltd,3/7/2017,R. V. Dubhashi,Insider - Employee,Sell,3,1437.0,479.0
Housing Development Finance Corporation Ltd,12/3/2018,TRIVEDI AMIT P,Insider - Employee,Sell,15,30255.0,2017.0
Housing Development Finance Corporation Ltd,11/29/2018,SAJIT S NAIR,Insider - Employee,Sell,15,29280.0,1952.0
Housing Development Finance Corporation Ltd,5/25/2018,PAULOMI BRAGANZA,Insider - Employee,Sell,15,27206.0,1813.73
Housing Development Finance Corporation Ltd,2/1/2019,SREENATH S,Insider - Employee,Sell,15,29355.0,1957.0
Housing Development Finance Corporation Ltd,12/13/2018,RAGHU SHARADHA,Insider - Designated Person,Sell,15,29385.0,1959.0
Housing Development Finance Corporation Ltd,5/3/2018,UTKARSH MACHHINDRA DEOKAR,Insider - Employee,Sell,15,28935.0,1929.0
Housing Development Finance Corporation Ltd,11/14/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,15,27641.0,1842.73
Housing Development Finance Corporation Ltd,12/21/2018,CHINTANKUMAR PRADIPKUMAR DAVE,Insider - Employee,Sell,15,29669.0,1977.93
Tech Mahindra Ltd,2/17/2020,Vikas Gupta,Insider - Designated Person,Sell,8,6625.0,828.13
NCL Research and Financial Services Ltd,12/15/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,5,7.0,1.54
NCL Research and Financial Services Ltd,12/13/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,5,8.0,1.67
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO,Block,Buy,28,27104.0,968.0
Viaan Industries Ltd,12/4/2019,NAYSAA SECURITIES PRIVATE LIMITED,Bulk,Sell,1,3.0,3.29
Biogen Pharmachem Industries Ltd,7/7/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,6,3.0,0.56
Mahindra and Mahindra Ltd,1/24/2019,Kinnar Rathod,Insider - Employee,Buy,10,6951.0,695.1
Mahindra and Mahindra Ltd,8/16/2018,Ashok Kumar Singh,Insider - Employee,Sell,10,9600.0,960.0
Larsen & Toubro Ltd,5/3/2017,Surendra Babu P R,Insider - Employee,Sell,13,22245.0,1711.15
Larsen & Toubro Ltd,7/18/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,13,20566.0,1582.0
Orient Green Power Company Ltd,7/6/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,7,19.0,2.81
Tata Consultancy Services Ltd,5/18/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,35,67126.0,1917.89
Kotak Mahindra Bank Ltd,12/31/2019,Rajiv Thakker,Insider - Employee,Buy,18,22878.0,1271.0
Virtual Global Education Ltd,12/27/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,7.0,1.91
Housing Development Finance Corporation Ltd,8/14/2017,Abhay Kumar Singh,Insider - Employee,Sell,15,26072.0,1738.13
Housing Development Finance Corporation Ltd,2/20/2017,Vyas Deepak L,Insider - Employee,Sell,15,20910.0,1394.0
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,15,21353.0,1423.53
Housing Development Finance Corporation Ltd,9/6/2016,Uday Sharadrao Patil,Insider - Employee,Sell,15,21900.0,1460.0
Housing Development Finance Corporation Ltd,2/6/2017,Aditi Agarwal,Insider - Employee,Sell,15,21117.0,1407.8
Housing Development Finance Corporation Ltd,2/6/2017,Mangalam Vijay,Insider - Employee,Sell,15,20985.0,1399.0
HDFC Asset Management Company Ltd,9/6/2018,VIJAY SHIVAPPA PRABHU,Insider - Employee,Sell,2,3368.0,1684.0
Housing Development Finance Corporation Ltd,12/10/2015,Kikim H Gurung,Insider - Employee,Sell,15,5875.0,391.72
Yes Bank Ltd,9/10/2018,Shiva Lodhi,Insider - Employee,Buy,22,7180.0,326.36
Bajaj Electricals Ltd,9/28/2018,Abhishek Vasudev Singh,Insider - Employee,Sell,1,508.0,508.0
Avenue Supermarts Ltd,12/5/2017,Mangesh Narayan Ghorpade,Insider - Employee,Sell,6,6756.0,1126.0
Avenue Supermarts Ltd,12/4/2017,Mangesh Narayan Ghorpade,Insider - Employee,Buy,6,6674.0,1112.33
HDFC Bank Ltd,5/25/2018,Yonus Mangoli,Insider - Employee,Sell,50,97500.0,1950.0
HDFC Bank Ltd,3/18/2019,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,1.12,2230.0
Axis Bank Ltd,10/30/2019,Manish Jain,Insider - Other,Buy,25,14793.0,591.72
GV Films Ltd,1/14/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,9,13.0,1.45
Tata Consultancy Services Ltd,5/27/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,37,72462.0,1958.43
HDFC Bank Ltd,3/28/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,70000.0,1400.0
HDFC Bank Ltd,12/15/2016,Arijit Sarkar,Insider - Employee,Sell,50,59000.0,1180.0
HDFC Bank Ltd,12/22/2016,Arijit Sarkar,Insider - Employee,Sell,50,59000.0,1180.0
HDFC Bank Ltd,1/30/2017,Shrikant G Sharma,Insider - Employee,Sell,50,62500.0,1250.0
HDFC Bank Ltd,3/30/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,70000.0,1400.0
HDFC Bank Ltd,2/21/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,70000.0,1400.0
HDFC Bank Ltd,12/23/2016,Arijit Sarkar,Insider - Employee,Sell,50,59000.0,1180.0
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,6,8937.0,1489.5
Bajaj Finance Ltd,3/28/2016,Ankoor S Kulkarni,Insider - Designated Person,Sell,5,34431.0,6886.2
Reliance Industries Ltd,10/23/2019,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,60,85199.0,1419.98
Reliance Industries Ltd,2/5/2019,Salil Kumar Mishra,Insider - Other,Sell,60,78000.0,1300.0
Housing Development Finance Corporation Ltd,6/19/2017,Kankane Abhishek,Insider - Employee,Sell,16,26400.0,1650.0
Andhra Cements Ltd,6/29/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,3,48.0,16.25
Reliance Home Finance Ltd,8/10/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,5,10.0,2.1
Infosys Ltd,5/26/2021,Infosys Employee Benefits Trust,Insider - Trust,Buy,44,60764.0,1381.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,2078.0,692.67
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,2072.0,690.67
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,3,2055.0,685.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,2069.0,689.67
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,2067.0,689.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,3,2056.0,685.33
Axis Bank Ltd,3/31/2017,Lalit Mohan Sharma,Insider - Employee,Sell,25,12430.0,497.2
AJR Infra and Tolling Ltd,5/25/2021,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Buy,10,14.0,1.4
SBI Cards and Payment Services Ltd,10/27/2020,Mishi Iqbal,Insider - Designated Person,Sell,10,8075.0,807.5
Housing Development Finance Corporation Ltd,3/22/2018,SHUBHADEEP SAHA,Insider - Employee,Sell,17,31034.0,1825.53
Larsen & Toubro Ltd,3/7/2018,Elayaraja R,Insider - Employee,Sell,15,6.06,40403.2
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,18,34938.0,1941.0
Larsen & Toubro Ltd,10/7/2015,Hemant H Jadhav,Insider - Employee,Sell,15,23158.0,1543.87
Housing Development Finance Corporation Ltd,8/2/2016,Amruta Amod Pethe,Insider - Designated Person,Sell,17,23042.0,1355.41
Indian Infotech and Software Ltd,12/13/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,11,47.0,4.3
JSW Steel Ltd,11/18/2022,JSW Steel Employees Welfare Trust û OPJ ESOP Plan 2021 A/c PAN: AABTJ3861D Regd. Add.: Dr. G. Deshmukh Marg 5/A Mumbai - 400026 Contact No.: 022-42861000,Insider - Other,Sell,33,23268.0,705.09
Yes Bank Ltd,5/25/2017,Yogesh Budhiraja,Insider - Employee,Sell,25,37279.0,1491.16
Yes Bank Ltd,6/13/2017,Yogesh Budhiraja,Insider - Employee,Sell,25,37452.0,1498.08
ICICI Lombard General Insurance Company Ltd,8/10/2020,AMITABH JAIN,Insider - Designated Person,Sell,5,7020.0,1404.0
ICICI Lombard General Insurance Company Ltd,2/19/2019,AMITABH JAIN Revised,Insider - Designated Person,Buy,5,4590.0,918.0
Divi's Laboratories Ltd,10/15/2020,Veeranjaneyulu Gudivada,Insider - Designated Person,Sell,3,9243.0,3081.0
Divi's Laboratories Ltd,10/15/2020,Veeranjaneyulu Gudivada,Insider - Designated Person,Buy,3,9228.0,3076.0
Tata Consultancy Services Ltd,5/19/2021,Krishnan Ramanujam,Insider - Designated Person,Sell,42,1.31,3115.6
ITC Ltd,1/4/2019,HARIT SHROFF,Insider - Employee,Sell,140,39522.0,282.3
ITC Ltd,7/23/2018,R. RAJASEKHAR,Insider - Employee,Sell,140,39801.0,284.29
Tech Mahindra Ltd,6/15/2020,Bhupathi Raju L,Insider - Designated Person,Sell,10,5495.0,549.5
Larsen & Toubro Ltd,7/14/2015,Hemant H Jadhav,Insider - Employee,Sell,16,29824.0,1864.0
Housing Development Finance Corporation Ltd,6/9/2020,SANKET SUHAS KOLHATKAR,Insider - Designated Person,Sell,20,36400.0,1820.0
Housing Development Finance Corporation Ltd,12/1/2020,GUPTA DIPTA BHANU,Insider - Designated Person,Sell,20,46120.0,2306.0
HDFC Bank Ltd,3/18/2019,P Shreekanth,Insider - Employee,Sell,60,1.34,2230.0
Burnpur Cement Ltd,10/10/2016,GOUTAM CHORARIA,Bulk,Sell,1,15.0,15.75
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,7,10429.0,1489.86
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,7,10427.0,1489.57
Colorchips New Media Ltd,8/22/2023,BP EQUITIES PVT. LTD.,Bulk,Sell,1,6.0,6.82
Infosys Ltd,2/19/2021,Infosys Employee Benefits Trust,Insider - Designated Person,Buy,50,64650.0,1293.0
Reliance Capital Ltd,3/12/2021,HSQUARE GLOBETRADE LLP,Bulk,Sell,3,41.0,13.9
Bharat Road Network Ltd,6/22/2018,AYODHYA GORAKHPUR SMS TOLLS PRIVATE LIMITED,Bulk,Sell,1,167.0,167.0
Housing Development Finance Corporation Ltd,5/9/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,20,37960.0,1898.0
Housing Development Finance Corporation Ltd,5/15/2018,UTKARSH MACHHINDRA DEOKAR,Insider - Employee,Sell,20,38820.0,1941.0
Housing Development Finance Corporation Ltd,6/20/2018,ROY HIRANMOY,Insider - Employee,Sell,20,36392.0,1819.6
Housing Development Finance Corporation Ltd,11/6/2018,ADITI DONGARE,Insider - Employee,Sell,20,36051.0,1802.55
Housing Development Finance Corporation Ltd,12/12/2018,UDAY SHARADRAO PATIL,Insider - Employee,Sell,20,38930.0,1946.5
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,20,38600.0,1930.0
Housing Development Finance Corporation Ltd,3/12/2019,RAJE ASHISH ARVIND,Insider - Employee,Sell,20,38080.0,1904.0
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,20,37680.0,1884.0
Housing Development Finance Corporation Ltd,3/19/2019,GOWTAM KANNURI,Insider - Employee,Sell,20,39460.0,1973.0
Housing Development Finance Corporation Ltd,5/3/2018,ARADHANA UPADHYAY,Insider - Immediate Relative,Buy,20,38498.0,1924.9
Housing Development Finance Corporation Ltd,9/4/2018,JOSHI MAYUR G,Insider - Employee,Sell,20,38926.0,1946.3
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,20,37600.0,1880.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,20,39383.0,1969.15
Housing Development Finance Corporation Ltd,2/21/2019,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,20,37498.0,1874.9
Housing Development Finance Corporation Ltd,3/20/2019,GOWTAM KANNURI,Insider - Employee,Sell,20,39640.0,1982.0
Housing Development Finance Corporation Ltd,11/30/2018,RADHAYYA S M,Insider - Employee,Sell,20,39933.0,1996.65
Housing Development Finance Corporation Ltd,12/3/2018,UDAY SHARADRAO PATIL,Insider - Employee,Sell,20,40291.0,2014.55
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,19,31322.0,1648.53
Chambal Fertilisers and Chemicals Ltd,5/18/2017,Raj Kumar Khunteta,Insider - Employee,Sell,5,585.0,117.0
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,17,37724.0,2219.06
Srestha Finvest Ltd,1/13/2022,RAJESH KHANDWE,Bulk,Buy,1,2.0,2.27
Panafic Industrials Ltd,12/20/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,1.0,1.68
Biogen Pharmachem Industries Ltd,8/18/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,8,6.0,0.81
Biogen Pharmachem Industries Ltd,7/29/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,8,8.0,1.04
ITC Ltd,4/11/2018,ANMOL SINGH GREWAL,Insider - Employee,Sell,150,39713.0,264.75
ITC Ltd,8/21/2018,GANESH GOPAL,Insider - Employee,Sell,150,46915.0,312.77
ITC Ltd,3/8/2019,D. JOHN ROBERT,Insider - Employee,Sell,150,43826.0,292.17
Pmc Fincorp Ltd,1/16/2018,BP FINTRADE PRIVATE LIMITED,Bulk,Buy,6,3.0,0.65
HDFC Life Insurance Company Ltd,5/18/2018,SHWETA KHATTRI,Insider - Employees Immediate Relative,Buy,25,12271.0,490.84
Relaxo Footwears Ltd,1/7/2019,Vinay Kumar Bajaj,Insider - Employee,Sell,3,2253.0,751.0
Sterlite Technologies Ltd,11/21/2018,Nikhil Puri,Insider - Employee,Buy,5,1713.0,342.6
Sterlite Technologies Ltd,10/22/2018,Mr. Nikhil Puri,Insider - Employee,Buy,5,1626.0,325.2
Sterlite Technologies Ltd,10/30/2018,Abhinav Srivastava,Insider - Employee,Buy,5,1918.0,383.6
Reliance Industries Ltd,6/11/2020,S Rajagopal,Insider - Designated Person,Buy,80,25140.0,314.25
Tata Consultancy Services Ltd,5/15/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,47,88221.0,1877.04
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,21,41352.0,1969.14
Housing Development Finance Corporation Ltd,8/29/2017,Sanjiv Kumar Sinha,Insider - Employee,Sell,20,34880.0,1744.0
Housing Development Finance Corporation Ltd,11/28/2017,Viswanath Chandrasekar Iyer,Insider - Employee,Sell,20,34639.0,1731.95
Housing Development Finance Corporation Ltd,12/27/2017,Sanjiv Kumar Sinha,Insider - Employee,Sell,20,34121.0,1706.05
Housing Development Finance Corporation Ltd,3/22/2018,Deepak B,Insider - Employee,Sell,20,36700.0,1835.0
Housing Development Finance Corporation Ltd,2/14/2018,Uday Sharadrao Patil,Insider - Employee,Sell,20,36580.0,1829.0
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,20,35697.0,1784.85
Housing Development Finance Corporation Ltd,3/26/2018,Deepak B,Insider - Employee,Sell,20,36500.0,1825.0
Housing Development Finance Corporation Ltd,6/23/2017,Kankane Abhishek,Insider - Employee,Sell,20,33102.0,1655.1
Housing Development Finance Corporation Ltd,9/8/2017,Sudipto Kumar Das,Insider - Employee,Sell,20,35656.0,1782.8
Housing Development Finance Corporation Ltd,11/21/2017,SANJIV KUMAR SINHA,Insider - Employee,Sell,20,33940.0,1697.0
Housing Development Finance Corporation Ltd,2/20/2018,RITU SHARMA,Insider - Employee,Sell,20,36533.0,1826.65
Housing Development Finance Corporation Ltd,5/29/2017,Gaurav Narang,Insider - Employee,Sell,20,32000.0,1600.0
Housing Development Finance Corporation Ltd,2/12/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,20,36510.0,1825.5
Housing Development Finance Corporation Ltd,11/3/2017,Uday Sharadrao Patil,Insider - Employee,Sell,20,35800.0,1790.0
Housing Development Finance Corporation Ltd,12/5/2017,Paul Santiswarup,Insider - Employee,Sell,20,33428.0,1671.4
Housing Development Finance Corporation Ltd,2/12/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,20,36030.0,1801.5
Persistent Systems Ltd,2/12/2020,Rama-Purushottam Foundation,Insider - Promoter Group,Sell,1,701.0,701.0
Housing Development Finance Corporation Ltd,2/6/2017,Shameer Attupurathu Siddique,Insider - Employee,Sell,20,28036.0,1401.8
Housing Development Finance Corporation Ltd,2/2/2017,Aditi Agarwal,Insider - Employee,Sell,20,28000.0,1400.0
Housing Development Finance Corporation Ltd,3/16/2017,Payal Tukaram Sawarikar,Insider - Employee,Sell,20,28924.0,1446.2
Housing Development Finance Corporation Ltd,3/20/2017,Deepak B,Insider - Employee,Sell,20,29240.0,1462.0
Housing Development Finance Corporation Ltd,2/22/2017,Purnima Vibhandik,Insider - Employee,Sell,20,28211.0,1410.55
Housing Development Finance Corporation Ltd,3/6/2017,Babu Baskar,Insider - Employee,Sell,20,27291.0,1364.55
Housing Development Finance Corporation Ltd,3/29/2017,Deepak B,Insider - Employee,Sell,20,30200.0,1510.0
Housing Development Finance Corporation Ltd,8/12/2016,Gurpreet Singh Arora,Insider - Employee,Sell,20,27546.0,1377.3
Housing Development Finance Corporation Ltd,2/17/2017,Naveen Sharma,Insider - Employee,Sell,20,28331.0,1416.55
Housing Development Finance Corporation Ltd,9/2/2016,Gajananprasad Ratnakar Anekar,Insider - Employee,Sell,20,28730.0,1436.5
Housing Development Finance Corporation Ltd,12/23/2016,Jitendra Kumar Jaiswal,Insider - Employee,Buy,20,6.36,31775.0
Housing Development Finance Corporation Ltd,2/7/2017,Rahul Ramchandra Rane,Insider - Employee,Sell,20,28000.0,1400.0
Housing Development Finance Corporation Ltd,3/17/2017,Deepak B,Insider - Employee,Sell,20,29060.0,1453.0
Housing Development Finance Corporation Ltd,3/27/2017,Deepak B,Insider - Employee,Sell,20,29360.0,1468.0
Mahindra and Mahindra Ltd,2/17/2016,Anil Jagga,Insider - Employee,Sell,15,17982.0,1198.81
Tata Consultancy Services Ltd,1/29/2018,Nitya Jain,Insider - Designated Person,Sell,50,1.6,3198.48
Tata Consultancy Services Ltd,1/31/2018,Rohit Kumar Jain Spouse,Insider - Immediate Relative,Sell,50,1.55,3109.82
Tata Consultancy Services Ltd,1/22/2018,Rohit Kumar Jain,Insider - Immediate Relative,Sell,50,1.51,3016.3
Housing Development Finance Corporation Ltd,12/30/2015,Daniel Peter Anthony,Insider - Designated Person,Sell,20,24800.0,1240.0
Housing Development Finance Corporation Ltd,3/8/2016,Shantanu Dilip Khokale,Insider - Designated Person,Sell,20,22800.0,1140.0
HDFC Bank Ltd,8/1/2016,Aparna Kumar,Insider - Employee,Sell,65,1.16,1790.0
Larsen & Toubro Ltd,10/8/2015,Hemant H Jadhav,Insider - Employee,Sell,18,27424.0,1523.56
Samvardhana Motherson International Ltd,11/1/2018,LAKSH VAAMAN SEHGAL,Insider - Promoter & Director,Buy,41,7116.0,173.56
Yes Bank Ltd,9/11/2018,Shiva Lodhi,Insider - Employee,Buy,30,9469.0,315.63
Kotak Mahindra Bank Ltd,6/8/2020,Pavan Manchala,Insider - Employee,Sell,25,33838.0,1353.52
HDFC Bank Ltd,6/13/2017,Sunil Gupta,Insider - Employee,Sell,67,1.08,1610.0
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,22,43321.0,1969.14
Cressanda Solutions Ltd,1/3/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,27.0,6.79
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,8,11916.0,1489.5
Zensar Technologies Ltd,11/20/2017,Pushpall Kapadia,Insider - Employee,Sell,3,2654.0,884.99
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,19,42165.0,2219.21
Mahindra and Mahindra Ltd,2/15/2016,Anil Jagga,Insider - Employee,Sell,16,18806.0,1175.44
Axis Bank Ltd,2/28/2020,United India Insurance Company Limited,Insider - Promoter,Buy,35,24454.0,698.69
MIC Electronics Ltd,1/17/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,3,96.0,32.25
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,23,44011.0,1913.52
Bajaj Auto Ltd,2/6/2023,Zanzari Kailash J,Insider - Designated Person,Sell,4,15416.0,3854.0
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,2740.0,685.0
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,2753.0,688.25
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,2741.0,685.25
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,2769.0,692.25
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,2745.0,686.25
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,2758.0,689.5
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,2753.0,688.25
Tata Consultancy Services Ltd,5/29/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,52,1.03,1980.06
Housing Development Finance Corporation Ltd,8/9/2021,SHETTY SATISH,Insider - Designated Person,Sell,25,65375.0,2615.0
Housing Development Finance Corporation Ltd,2/7/2017,Shibu S.B.,Insider - Employee,Sell,22,30960.0,1407.27
Housing Development Finance Corporation Ltd,2/15/2017,Krishnaprem Nehalbhai Thakker,Insider - Employee,Sell,22,30776.0,1398.91
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,22,31312.0,1423.27
ITC Ltd,11/20/2018,D.V.R. RAJIV MOHAN,Insider - Employee,Sell,170,48586.0,285.8
CRISIL Ltd,11/8/2017,Reena Rodrigues,Insider - Employee,Sell,1,1820.0,1820.0
Tata Consultancy Services Ltd,11/4/2020,Arun Kumar Malik,Insider - Immediate Relative,Buy,53,1.43,2698.96
HDFC Asset Management Company Ltd,9/4/2018,RAJBIR SINGH,Insider - Employee,Sell,3,5277.0,1759.0
HDFC Asset Management Company Ltd,9/6/2018,VIJAY SHIVAPPA PRABHU,Insider - Employee,Sell,3,5051.0,1683.67
HDFC Asset Management Company Ltd,9/10/2018,KUMAR RITESH,Insider - Employee,Sell,3,4980.0,1660.0
Larsen & Toubro Ltd,10/1/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,20,24700.0,1235.0
Larsen & Toubro Ltd,12/18/2018,KUMARESAN T,Insider - Designated Person,Sell,20,28436.0,1421.8
Larsen & Toubro Ltd,10/9/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,20,24595.0,1229.75
Swasti Vinayaka Synthetics Ltd,2/17/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,8.0,8.5
Vikas Ecotech Ltd,8/20/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,43.0,10.81
Larsen & Toubro Ltd,7/26/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,20,31621.0,1581.05
Larsen & Toubro Ltd,4/20/2016,Hemant H Jadhav,Insider - Employee,Sell,20,25118.0,1255.9
Housing Development Finance Corporation Ltd,6/1/2020,SANKET SUHAS KOLHATKAR,Insider - Designated Person,Sell,25,44061.0,1762.44
Housing Development Finance Corporation Ltd,6/8/2017,Shameer Attupurathu Siddique,Insider - Employee,Sell,23,37417.0,1626.83
Housing Development Finance Corporation Ltd,9/12/2017,Vepa Shravan,Insider - Employee,Sell,23,41262.0,1794.0
Gravita India Ltd,3/3/2021,RAJAT AGRAWAL,Insider - Promoter,Buy,1,110.0,110.0
Gravita India Ltd,8/13/2021,Vijendra Singh Tanwar,Insider - Other,Sell,1,187.0,187.0
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,55,1.46,2654.85
HDFC Bank Ltd,2/1/2020,Abhilasha Sancheti,Insider - Designated Person,Buy,80,97748.0,1221.85
Newgen Software Technologies Ltd,2/22/2019,ATUL KUMAR PHARASI,Insider - Employee,Sell,1,299.0,299.0
